Law & Prop.Rights;Sound Money;Export trade freedom;Regulations;polity;Population total;Use of IMF credit (current USD) per capita;GDP per capita in USD;Gross tertiary education enrollment percent;Fuel exports (% of merchandise exports)
6.55;1.85;8.78;4.53;10;3629102;-0.000184;2168.796099;26.28147;11.390045
4.64;9.56;8.2;7.02;9;26937737;10.202082;2191.37156;31.5336;9.588444
6.09;7.69;5.22;5.33;3;68522074;5.273147;2240.807121;19.87151;79.13319
5.86;8.15;4.87;4.52;9;7976449;0;2241.788882;33.7044;63.065373
5;7.64;6.97;7.1;9;3558566;217.123414;2243.979662;41.277168;0.1932
7.33;7.05;5.86;5.31;-3;9552500;8.04491;2247.912995;18.832661;12.088516
6.6;9.16;9.92;7.25;0;4461600;-0.000149;2252.111881;8.88586;0.000108
4.51;9.42;8.55;7.31;7;5811836;5.601156;2259.888269;20.65926;2.645205
4.66;7.71;6.86;6.34;8;238465165;13.01957;2262.720786;23.740351;28.420484
6.95;7.13;5.96;6.11;-3;9650600;4.459205;2286.50046;21.20027;9.23873
5.11;5.35;6.18;6.52;7;46787750;59.848379;2303.018831;72.767097;6.409218
3.21;8.24;7.26;5.97;8;5966160;3.627962;2312.192538;28.672359;0.000975
5.73;8.27;8.64;8.15;6;4388400;109.156412;2318.127263;36.83939;3.948584
6.79;9.21;7.94;7.81;-2;5411000;48.122528;2326.495159;39.696419;0.182418
6.68;2.98;9.02;4.33;8;2485056;-0.000268;2327.930268;23.1197;1.755611
4.24;7.51;7.14;7.28;6;745638;109.335898;2334.021042;11.3032;0.00116
5.43;8.66;6.3;5.69;-3;80442443;17.509339;2349.286865;32.360409;28.918841
6.03;7.14;6.7;6.57;9;64817254;1.940687;2349.384526;40.887619;2.495247
2.78;7.12;8.51;5.24;9;13360988;-0.00005;2351.110874;15.5147;94.640486
3.08;7.39;6.4;6.46;7;41572493;3.736942;2355.725753;24.874229;36.266402
4.38;9.57;8.36;6.72;7;5844738;5.372183;2363.271031;19.75449;2.870325
5.7;4.74;6.41;4.93;9;19861959;-0.000034;2367.717524;27.78684;80.092952
4.64;9.28;6.74;7.23;8;94501233;13.6136;2371.853537;30.94589;2.684047
4.15;5.94;7.11;6.66;8;8967759;19.742502;2372.629772;33.329151;2.613543
6.54;7.18;6.12;6.8;-4;9748900;4.775308;2373.836478;22.72727;9.36494
4.95;4.08;6.64;6.17;6;145306046;-0.000005;2375.059044;66.617477;52.473311
5.46;8.41;6.88;6.94;10;3095994;3.647617;2391.302218;26.39949;1.015771
3.5;4.5;1.69;2.93;-2;25912364;25.85372;2394.420608;10.2256;96.473992
3.62;9.39;7.5;6.75;7;7736131;27.029661;2395.073442;20.397989;4.090663
3.44;7.57;6.94;5.44;7;40988909;3.503582;2395.856522;24.789471;36.334072
4.58;9.66;6.54;6.32;7;3026939;55.865348;2416.588235;20.00498;2.627712
6.52;9;7.25;8;4;18211097;-0.000037;2417.436902;7.18985;18.301924
4.22;4.73;5.06;6.01;-4;3950786;42.41637;2428.260233;6.51998;70.659309
3.76;8.15;6.73;6.63;9;2033974;39.724697;2431.836776;27.44383;5.412386
3.52;9.68;8.42;6.95;-6;2219276;140.243935;2434.127166;24.15864;7.241183
4.25;9.55;8.19;6.29;7;5874301;5.782475;2435.472748;20.29027;2.162669
5.55;9.24;8.53;7.17;6;4410900;229.440024;2440.961318;25.21715;4.960465
4.65;9.61;7.96;7.16;9;27273188;9.008004;2445.446488;33.296501;6.724339
6.43;2.31;6.5;5.7;-7;11234340;-0.000059;2454.288156;11.82676;1.296096
2.85;5.32;6.89;5.52;7;37441980;0;2470.683383;16.31238;27.70819
3.53;6.31;7.04;6.1;7;40403959;3.684911;2472.197776;23.91613;43.110013
4.42;9.26;8.3;6.65;8;13797629;3.169965;2472.389127;17.87513;5.073291
5.81;7.59;5.94;6.26;-7;8484550;43.0519;2473.085776;19.789459;84.591342
7.59;6.13;6.73;7.58;6;1980531;-0.000336;2489.893946;6.16231;1.013317
6.28;6.2;4.51;6.8;10;1058775;20.842955;2506.184933;3.04117;1.37355
6.1;6.84;6.25;5.9;-6;31011322;4.36647;2510.976204;11.76666;2.267671
4.16;6.41;5.43;5.65;-5;40805744;-0.000016;2542.04198;31.58513;3.067799
4.79;5.32;6.69;6.14;7;46053300;282.859882;2545.480341;78.014679;5.226036
4.74;9.59;8.23;6.45;7;5900929;6.291721;2549.886636;20.70612;2.005017
4.27;7.75;7.12;7.33;6;748096;106.218988;2569.99507;10.77931;0.001002
3.53;7.01;7.05;5.79;8;37889443;-0.000018;2579.201638;62.229858;17.08865
3.51;8.7;7.22;6.23;8;6127847;24.353415;2599.592016;36.587799;0.008562
3.81;6.99;5.82;4.94;2;32817225;25.678405;2600.00652;18.180559;97.378686
4.84;6.92;6.69;7.27;8;96017322;13.413049;2604.655997;31.476299;2.392325
5.71;8.8;8.48;7.81;6;4452800;285.697988;2613.756925;28.263229;5.711253
5.9;7.06;6.81;6.83;9;65404522;2.010029;2643.478935;41.873932;3.213232
6.09;7.9;5.7;5.31;-6;69321953;5.319051;2649.913586;21.72612;78.546587
4.63;9.66;7.99;6.75;7;5925089;6.548762;2666.339695;21.12693;1.860761
5.24;8.81;6.32;5.61;-3;82040994;16.865264;2668.035988;33.46806;29.831094
6.31;8.08;6.69;5.75;-7;1317885000;0.283942;2673.294191;19.9669;1.686112
5.3;8.96;7.33;7.2;9;7823557;267.814627;2693.75876;41.519508;5.794928
4.53;7.94;7.03;7.51;6;750749;259.237109;2698.058991;10.36444;0.000276
6.08;5.61;6.93;4.81;10;10023613;-0.000066;2705.459217;13.84688;4.145189
4.8;9.64;6.33;6.1;9;3011487;52.546466;2709.142931;24.523251;8.66273
4.56;9.68;8.06;6.93;9;27610406;6.804282;2714.480116;33.325619;11.36553
6.84;8.94;7.84;7.98;-2;5536000;33.180816;2719.822427;39.796661;1.028433
4.2;2.5;4.62;4.09;-9;28105889;-0.000024;2738.284626;21.83735;3.464287
3.95;7.7;6.12;6.67;7;42724157;4.153716;2740.249866;27.45562;38.220067
5.25;6.55;6.91;6.68;3;20653000;92.956859;2746.612135;16.042459;0.158885
5.52;6.62;7.19;6.44;8;21574326;32.826518;2774.955806;38.033459;6.473946
4.91;6.93;7.57;7.59;8;97571676;13.225826;2786.950468;33.84203;3.877939
3.73;8.25;6.31;6.95;9;2038444;37.066017;2787.773056;28.02368;4.68365
4.48;3.87;4.71;5.28;9;53994605;0;2790.580487;13.16994;2.267061
6.29;7.7;1.3;4.97;-3;69330974;0;2803.318841;12.72666;66.827671
4.55;9.07;6.24;5.28;-2;83787634;16.462644;2816.666943;28.753201;30.913924
6.22;6.69;5.61;8.04;5;816626;12.66063;2835.980917;15.76992;0.000466
5.41;9.46;6.09;6.65;9;59266089;0;2856.246392;20.1433;0.716712
5.97;7.07;6.79;6.15;-6;32107739;26.928305;2857.673414;14.3189;1.072778
4.4;9.63;7.64;7.12;7;5947206;6.0045;2874.257256;21.16942;1.867771
6.28;6.76;6.43;6.99;9;65863973;1.836983;2874.386274;44.177391;4.122673
5.99;7.02;6.54;6.09;-6;31714958;27.751448;2883.850677;13.45325;2.332497
6.18;9.5;9.11;7.25;9;2738125;40.371057;2887.413832;27.83656;3.174077
4.85;3.21;7.75;6.27;8;58522320;11.696888;2896.090604;20.09968;1.299003
6.05;6.72;6.47;5.94;-6;31350544;4.209943;2905.95268;12.85362;2.154155
4.56;2.5;1.69;3.95;8;30388781;-0.000022;2909.516802;35.71831;7.307024
5.55;9.44;7.64;6.78;5;2966108;244.309041;2915.583906;49.119549;0.095419
5.58;9.08;8.7;7.63;6;4383800;155.551576;2918.710815;34.00198;3.1633
4.79;5.6;6.56;6.12;6;45870700;354.51517;2973.996481;76.655487;6.925322
5.71;4.29;6.73;6.3;6;144648257;-0.000005;2975.132778;70.5467;54.494452
6.38;5.7;7.49;6.55;10;3189550;-0.000209;2976.740572;14.19815;1.324633
6.28;3.76;8.65;6.63;10;3109987;-0.000214;2989.993095;29.90138;0.027815
4.44;7.96;7.01;7.57;6;753362;251.88422;2998.941274;11.49131;0
4.91;9.57;6.74;6.55;9;2992547;54.287869;3005.012903;28.78627;13.687093
6.95;9.19;7.87;8;-3;5661000;20.18124;3022.541906;41.168098;0.82882
6.61;9;8.06;7.36;8;1786672;3.316781;3044.127353;6.51705;0.017433
7.44;2.3;9.27;6.93;6;1436634;-0.000464;3044.379109;25.40146;5.769159
4.14;3.59;7.3;4.69;7;64182694;222.144181;3053.865108;25.260731;1.418792
3.38;8.58;7.34;5.98;8;6047131;3.488762;3059.985099;34.014381;0.000231
4.27;7.59;7.36;7.24;9;2042894;36.293121;3063.595426;29.63007;8.018999
6.03;7.17;6.94;6.11;-4;32531964;26.494988;3066.503158;16.158569;2.612909
4.04;9.22;6.15;5.1;-88;85660902;16.119945;3068.193883;30.056021;31.540471
5.24;5.16;6.3;6.09;7;46509350;53.763405;3068.608998;75.443962;5.123396
6.76;3.59;7.63;5.33;0;85609404;76.525121;3068.702424;14.80277;37.584093
5.71;8.98;7.53;7.19;5;2988117;99.376631;3080.970959;44.322128;1.202724
5.32;7.51;5.98;5.06;2;33267887;5.526681;3102.037384;19.762581;98.027864
4.23;8.92;6.45;5.16;-4;87613909;15.792196;3104.219707;32.927021;26.928337
4.4;9.37;7.78;7.29;7;5967556;6.298558;3108.592529;21.166611;2.272762
7.05;9.15;7.93;7.23;8;1762531;3.10803;3114.616594;6.0309;0.065172
5.56;9.18;7.61;7.22;5;2963496;295.687931;3124.784018;50.62447;3.122872
4.48;8.99;6.77;6.29;8;241613126;12.623217;3125.219934;24.88563;29.72691
5.34;6.46;6.93;6.68;3;20869000;111.420576;3128.694823;15.0175;0.444798
6.11;8.06;5.62;5.73;-6;70122115;5.014795;3135.187408;22.86676;82.611054
4.93;9.44;8.14;6.84;9;27949958;5.635107;3143.550031;34.560181;9.624414
5.4;6.91;6.43;3.58;8;9046541;-0.000074;3153.235306;17.10824;11.038957
2.78;4.74;5.19;5.96;-4;4286188;35.553737;3191.164299;10.36444;78.897828
2.78;4.97;5.33;6.22;-4;4394334;33.646509;3205.457783;9.63021;75.709781
5.68;9.03;8.5;8.12;6;4483350;269.823235;3219.605871;30.08354;4.433888
5.07;5.73;6.21;6.02;-88;35530725;-0.000019;3221.586396;17.0486;3.286735
3.63;8.65;7.2;6.35;8;6209877;23.607714;3225.591754;34.513672;30.551363
2.83;4.86;4.51;4.71;6;25857553;-0.000026;3233.956106;39.629452;82.365864
6.48;7.09;7.95;6.01;10;3499536;-0.00019;3297.354701;50.625011;20.871252
8.03;9.62;6.51;5.39;10;12507000;-0.000053;3297.783659;15.76842;5.584824
5.25;8.34;4.56;5.39;9;17508059;-0.000038;3309.089959;21.49579;79.967111
3.52;7.01;5.87;5.64;0;336452;-0.001979;3322.308159;4.75981;0.363986
4.01;6;6.91;6.11;8;38309475;-0.000017;3330.409821;64.860046;17.122777
6.22;6.48;5.91;8.38;6;818355;13.204538;3332.91446;15.95203;0.008389
7.81;9.09;7.63;7.51;8;1736579;3.270223;3333.17955;5.59222;0.081775
6.26;6.61;6.65;7.1;-5;66174486;1.924458;3351.117633;44.15963;4.678798
4.47;8.3;7.19;7.57;9;2047330;33.347824;3351.30259;28.986309;9.384524
6.67;8.55;7.88;6.61;8;2367550;-0.000281;3351.469058;56.636581;2.471981
5.21;8.7;7.28;7.13;9;7781161;273.997287;3353.564149;41.937889;7.977801
4.19;9.35;7.88;7.58;7;5986414;6.595434;3358.421252;21.961611;2.864948
5.15;6.49;6.89;6.72;3;20328000;153.388381;3366.51036;16.967461;0.367607
8;5.61;6.73;4.1;9;9766312;-0.000068;3368.69837;11.37819;5.515367
4.42;7.81;6.48;6.54;7;43285636;3.773169;3386.025478;29.9112;40.439892
4.43;7.8;7.01;7.63;6;755883;240.853412;3408.725419;12.17107;0.000875
5.82;9.15;7.39;7.46;5;2967984;324.3097;3417.171836;51.001419;8.432721
4.01;9.28;7.61;7.12;8;6021368;42.64795;3431.280068;22.958719;2.805242
4.4;9.48;8.06;6.77;8;15690793;19.718761;3432.022106;18.736481;4.627366
6.45;8.13;6.55;5.63;-7;1324655000;0.275344;3441.221355;20.187269;2.205497
5.58;8.72;7.85;7.21;9;2589389;43.74391;3448.448874;15.38353;0.292578
2.6;4.59;5.06;5.89;-4;4177435;37.04522;3453.221229;9.06463;77.666166
5.3;7.58;6.11;5.83;2;33749328;5.734218;3467.54474;20.214849;97.908908
5.61;4.18;8.02;6;-7;2915775;-0.000228;3485.529616;15.53155;0.003224
5.6;9;7.95;5.96;9;2605556;34.958374;3487.900025;17.939159;1.206737
5.77;9.17;8.44;8.14;6;4490700;214.946222;3528.731511;27.933519;3.133755
5.06;7.84;8.45;5.7;10;3470818;-0.000192;3530.147337;56.602039;23.152494
3.84;9.25;7.45;7.06;8;6038306;41.777942;3547.070983;23.406931;2.989511
5.26;6.54;7.16;6.8;9;21451748;26.156796;3552.92452;41.585079;6.727536
5.78;9.34;7.34;7.64;5;2978339;305.983973;3565.517575;46.043591;7.925194
4.3;9.27;7.91;7.58;7;6004199;6.409514;3569.335393;22.57753;3.466224
5.14;6.04;6.55;6.4;6;45706100;354.692175;3569.757027;79.249413;8.11237
4.8;4.06;7.04;4.98;7;65125766;341.477504;3570.546263;26.19813;1.921178
6.16;5.37;2.22;3.86;9;3455000;-0.000193;3570.763172;23.31977;0.009638
5.7;9.33;8.31;6.27;8;2337170;-0.000285;3571.547005;63.30484;1.381086
4.78;8.98;7.32;7.57;9;2624695;26.378303;3581.160016;21.636089;2.368413
6.59;6.48;6.29;7.69;6;2027026;-0.000329;3582.25982;6.87286;0.426442
6.19;8.92;8.45;7.91;7;4487200;129.363077;3596.90832;33.050941;3.27496
8.05;9.51;7.47;7.12;10;1122457;0;3599.551751;5.62172;0.007437
5.07;9.42;6.78;6.44;9;2970017;55.043119;3603.013685;31.793381;7.453003
6.84;6.03;6.82;4.22;9;38594998;-0.000017;3612.159514;31.12521;8.017977
5.57;7.98;7.86;6.21;10;3325637;-0.0002;3622.052284;41.137402;1.615582
4.89;6.96;6.25;6.81;3;20483000;130.098814;3628.268052;18.762899;0.322951
5.3;5.5;7.72;6.33;4;94426946;167.624239;3640.833419;13.80781;10.270291
4.98;8.24;5.94;5.85;-6;70923164;5.196765;3646.844407;25.22786;82.79351
4.59;9.08;6.78;6.31;8;244808254;12.419957;3647.626622;27.20455;34.141076
1.99;5.82;4.32;5.27;6;25399143;-0.000026;3657.193748;38.048592;80.299471
6.34;6.56;6.6;9.07;6;821820;12.10119;3658.617477;16.148781;0.055657
7.02;8.06;5.72;7;0;269132;98.799102;3679.792815;16.012541;0
4.66;8.91;6.8;6.38;8;248037853;12.271417;3700.523538;31.51226;33.590891
4.74;8.97;7.64;6.89;9;2615253;30.160753;3706.777706;19.09413;2.656227
4.49;7.85;6.75;6.55;7;43835744;3.921663;3709.076914;31.867161;39.771023
5.61;9.18;8.08;7.56;5;2992192;240.730541;3716.828923;46.10862;6.07273
4.68;7.95;7.02;7.33;6;758410;225.288432;3759.377095;12.91051;0.000083
6.05;6.85;6.58;6.89;10;495159;40.314323;3766.111654;20.6206;0.000588
5.71;6.85;6.12;7.57;-6;15147029;32.427085;3771.278957;52.922359;70.617587
6.67;9.58;7.47;6.31;10;1196287;16.539509;3792.187576;17.10541;0.005127
6.98;8.35;7.95;8.02;-3;5786000;9.257172;3797.413633;44.300461;0.150815
6.41;8.05;6.56;6.04;-7;1331260000;8.231024;3800.474542;21.823721;1.698108
3.88;9.13;7.33;6.97;8;6055208;41.532512;3821.33859;24.51857;3.236604
4.67;9.67;8.55;6.53;9;3086887;28.18179;3825.050933;40.596142;7.085788
5.79;8.17;5.67;8.88;0;276085;100.657406;3831.60983;15.48362;0
5.69;9.58;7.83;6.86;9;3028751;41.038038;3836.730058;41.12896;6.765754
6.38;6.71;6.31;6.72;-7;8581300;40.281892;3851.437869;19.364599;81.398966
4.98;8.89;7.22;7.33;9;7739900;198.089123;3852.977756;44.272442;10.368707
5.01;8.69;7.62;7.74;9;2634145;24.287577;3853.61404;22.099119;2.432976
4.98;6.42;6.7;6.73;6;45593300;280.632549;3855.42128;79.701653;5.049094
6.94;9.58;7.45;6.74;10;1186873;17.283231;3861.038542;11.02747;0.008231
4.81;7.01;6.1;5.71;2;35401790;53.058984;3875.822095;28.59671;97.701545
6.15;6.74;6.79;6.84;3;23920963;7.305141;3878.771409;25.047001;9.725372
6.42;6.36;6.03;7.76;6;2053915;-0.000324;3884.646834;6.55898;0.465438
5.09;4.61;6.58;6.18;7;46258200;145.399886;3891.037823;77.348824;5.966649
4.18;9.72;8.31;6.75;9;3144728;27.23129;3902.531475;40.166328;6.208511
5.6;8.88;7.65;7.2;5;2975029;90.85424;3919.975474;46.580582;0.260616
4.02;9.31;7.17;7;8;6072233;41.46053;3921.720395;25.45447;3.223819
5.84;8.27;6.6;8.77;0;283279;90.285549;3933.234373;16.039721;0.000097
4.81;7.49;6.07;5.68;2;34261971;5.933196;3939.559939;22.28536;97.788882
6.54;9.49;6.83;6.21;10;1204621;17.768244;3957.512905;15.84492;0.043102
6.13;7.04;6.82;7.05;-1;66353572;2.016033;3962.750499;48.111591;4.26831
4.37;5.75;5.39;6.48;-4;1260435;73.517476;3981.858786;8.20971;82.950393
4.4;9.52;7.45;6.5;8;6089644;41.424917;3998.739499;25.924141;2.363326
5.62;8.15;7;7.19;3;23420751;7.73532;4004.557191;25.74227;9.623073
7.07;6.12;6.37;7.89;6;2115703;-0.000315;4011.301169;9.3296;0.479356
6.69;9.23;7.87;7.98;-3;5915000;44.971936;4026.76635;45.119511;0.577642
4.79;6.47;6.81;6.16;6;45489600;158.057666;4029.715504;78.99662;4.200171
4.76;9.75;8.44;6.86;9;3202511;26.133556;4038.456074;44.002331;0.681609
5.06;7.92;7.4;7.72;9;2051427;6.454044;4063.74594;34.78804;4.922223
6.73;8.67;9.04;7.17;9;1396985;-0.000477;4070.031904;56.351101;4.472457
5.48;8.67;7.92;6.14;10;3327770;-0.0002;4088.772541;39.264339;0.840413
5.36;9.73;7.25;6.38;9;2913021;44.411283;4094.358832;43.561531;17.973227
3.87;5.68;7.33;4.81;10;55441001;-0.000012;4094.938155;24.75772;5.829725
5.39;6.01;6.38;6.41;6;144067054;-0.000005;4102.372294;70.510437;54.687917
5.65;9.63;7.24;6.35;9;2927519;49.293958;4114.136545;33.106201;11.602414
5.6;8.42;7.77;7.03;10;3324096;-0.0002;4117.308853;42.390808;4.444773
6.55;9.36;8.14;7.08;8;2310173;-0.000288;4128.638136;67.720779;1.47575
6.18;6.73;6.85;7.21;3;24401977;7.746872;4132.667741;27.40855;8.577719
5.69;9.38;8.24;6.76;10;3443067;-0.000193;4146.987928;61.272751;18.624999
6.5;8.86;7.74;7.42;8;1810438;3.577587;4149.041377;9.61199;0.041124
5.07;5.9;7.1;6.35;10;3083100;-0.000216;4171.741825;24.42164;1.295009
5.76;8.04;6.38;8.89;0;290751;92.587816;4187.23289;17.01107;16.547863
5.62;6.79;7.06;6.75;-88;10777500;38.899095;4187.543531;35.19931;16.787997
5.64;7.08;6.86;7.01;4;66548197;22.856773;4231.140368;48.64748;5.248805
4.84;8.64;7.73;7.68;9;2643601;21.95755;4238.315843;20.19018;7.443551
4.56;9.71;7.03;6.23;9;2900489;36.902743;4247.485437;55.500961;26.590781
5.5;7.07;6.5;9.24;0;313925;112.832683;4258.842876;22.865761;27.972454
3.09;5.14;5.81;5.2;6;26314483;-0.000025;4273.365372;41.537029;83.679429
3.95;6.1;7.14;6.08;5;14447600;3.510618;4274.940821;38.923611;61.715412
6.63;9.11;7.45;7.44;3;20725374;-0.000032;4280.016572;11.14905;6.996171
5.79;6.8;6.99;6.97;-88;10673800;39.234762;4298.091697;35.222889;14.555632
8.35;5.08;6.94;6.92;10;56225800;-0.000012;4299.745618;18.20717;4.118184
5.57;6.86;6.94;6.58;-88;10886500;52.562991;4309.991625;33.686508;15.216031
5.81;8.15;6.53;9.16;0;298403;94.761112;4324.831017;18.21641;28.208035
4.36;7.23;6.36;8.09;0;321609;108.19349;4344.136669;22.5795;36.152457
4.8;9.67;8.3;6.74;9;3260611;23.650169;4348.663487;43.078541;0.545751
5.41;9.4;6.85;6.58;9;2947314;51.581542;4370.539647;32.321308;21.814272
6.47;9.12;7.89;8.05;-3;6046000;42.574926;4370.721045;40.432671;1.100257
6.22;7.4;8.67;5.04;9;15343917;-0.000043;4375.357535;20.21756;94.013295
5.86;6.98;6.74;7.07;4;66453255;1.962086;4384.782675;47.732262;6.411846
5.71;8.03;7.38;7.3;10;2859174;48.968338;4387.707056;62.26881;41.673407
4.67;9.72;7.45;6.24;9;2897366;33.394124;4411.258241;58.529888;31.003052
6.26;7.02;6.79;7.34;3;24869423;8.308235;4431.239455;30.52997;10.115784
4.97;9.78;7.12;6.3;9;2904780;40.361404;4437.811999;47.742722;21.191947
6.26;8.89;7.7;6.22;10;4187039;8.800252;4441.41216;25.63912;0.075156
5.24;8.76;7.62;7.42;9;7699020;163.650439;4455.690224;45.819889;13.27591
5.71;8.18;6.6;9.21;0;306165;90.023353;4470.220796;19.282141;40.262314
7.6;6.24;7.55;5.76;10;10328965;-0.000064;4472.762698;22.18434;3.047428
4.44;7.17;5.75;5.33;2;36036159;51.205263;4473.486446;28.758249;97.345998
4.7;8.86;7.83;7.59;9;2653042;23.029413;4487.499707;20.13022;13.732128
3.99;6.84;5.52;5.61;10;703693;-0.000946;4488.287003;3.96423;8.107198
4.88;8.22;7.24;6.97;9;2681386;152.971635;4489.272772;25.218121;17.244394
6.5;7.49;7.35;6.2;9;38258629;-0.000017;4492.727604;50.285992;5.085214
6.53;9.2;9.15;7.1;9;1388115;-0.00048;4498.958704;60.377869;3.9063
6.25;7.89;6.68;6.01;-7;1337705000;8.046841;4514.94052;23.321529;1.688609
4.35;7.13;6.39;8.08;0;329193;105.375874;4517.123997;22.86338;42.851291
5.23;7.97;7.45;8.06;9;2062443;48.997233;4561.177546;37.074791;7.682248
5.28;7.96;7.48;7.93;9;2058920;49.962602;4566.341332;38.982861;1.117851
6.16;9.23;8.7;7.09;9;15544554;-0.000043;4566.523326;40.365898;1.210234
