Law & Prop.Rights;Sound Money;Export trade freedom;Regulations;polity;Population total;Use of IMF credit (current USD) per capita;GDP per capita in USD;Gross tertiary education enrollment percent;Fuel exports (% of merchandise exports)
6.16;7.52;6.82;7.49;10;111940000;-0.000006;4581.574389;24.60175;0.394105
5.91;4.88;7.17;5.19;7;66060121;367.219839;4586.811203;29.835091;2.080427
7.01;7.16;7.68;7.19;10;10210971;-0.000065;4619.528633;35.931881;1.606094
5.75;9.53;6.74;7.02;10;1213370;19.281011;4623.351784;16.556;0.051634
5.24;9.55;8.1;6.77;9;3319301;18.510825;4659.023089;41.855068;0.736287
6.47;9.1;7.9;7.98;-3;6181000;41.51626;4665.954276;39.938931;0.190491
4.53;7.85;7;6.63;7;44374647;4.069373;4674.21171;32.963539;37.241412
4.58;7;6.44;8.08;0;336707;95.088608;4674.293377;25.78797;27.368778
5.47;8.3;7.79;6.68;9;21319685;17.330228;4676.315183;44.903782;10.642142
6.42;6.61;7.62;5.85;10;38418817;-0.000017;4693.075589;26.64852;8.836189
4.43;6.19;6.65;6.21;8;38728778;-0.000017;4696.070111;65.358368;15.993553
5.35;8.18;7.68;8.13;9;2069270;195.054778;4709.511628;38.45752;6.43898
4.58;7.04;6.41;8.09;0;344193;82.694883;4719.137955;25.91641;21.239146
3.75;5.56;7.91;6.05;7;24481477;-0.000027;4785.153059;28.25935;86.140397
6.6;3.35;5.79;4.49;-5;4669000;-0.000143;4794.937213;25.78603;8.559297
6.5;6.69;6.81;4.68;7;5361999;-0.000124;4799.151051;18.60165;4.266768
5.61;6.96;5.34;3.87;8;9934300;-0.000067;4813.71118;22.7592;12.044876
6.51;9.17;7.46;7.8;8;1835750;3.687866;4879.459462;9.24167;0.035229
6.54;9.22;7.9;7.72;-3;6318000;101.639285;4896.688447;46.60965;0.288078
4.88;7.98;7.2;7.32;9;2690824;441.574774;4902.034731;28.934891;22.688775
7.58;7.88;6.1;6.16;8;4426000;-0.00015;4919.628069;30.99629;10.975042
6.68;6.74;6.83;7.37;3;25332026;8.524506;4924.585852;29.96664;11.5766
4.33;5.57;5.4;6.48;-4;1318093;60.32503;4929.322637;8.5306;17.594056
6.63;9.43;8.84;7.4;9;15729268;-0.000042;4948.74818;42.71669;2.763039
5.94;6.58;6.42;7.1;-7;8947243;33.81578;4950.294791;19.057711;92.856863
5.78;7.82;7.06;5.84;9;38248076;-0.000017;4981.198619;55.448631;5.650863
6.75;8.65;7.91;7;8;14193986;-0.000047;5026.720634;28.33411;0.257034
5.1;9.27;8.63;7.49;9;29373644;31.97608;5056.303131;40.64798;12.176153
5.21;9.45;8.18;6.93;9;3378600;16.173267;5072.219262;42.886459;0.773393
5.35;7.06;6.83;6.84;4;66692024;22.405063;5111.909202;50.025532;4.836521
6.71;8.42;6.81;7.23;8;2007212;44.856248;5115.119247;19.057341;0.315765
5.68;9.49;7.96;7.34;10;1228254;18.320315;5116.039642;21.335859;0.000653
5;7.66;7.64;6.52;9;2671934;23.411881;5119.344953;25.304199;18.27629
6.23;9.22;8.18;7.11;8;2287955;-0.000291;5128.97182;72.401451;1.382262
4.28;8.13;6.88;6.8;7;45416276;25.485621;5148.411344;36.95747;50.721914
5.63;8;7.35;6.79;10;38230364;-0.000017;5196.932921;58.400311;4.944517
5.57;8.18;7.84;6.43;10;3325608;-0.0002;5220.957396;45.324589;4.855352
4.98;8.76;7.37;7.91;9;2714734;456.575856;5226.090903;28.73793;24.025511
6.53;9.3;7.93;7.21;9;15170387;-0.000044;5229.177098;37.185059;1.137423
5.01;9.43;6.66;7.41;10;1221003;20.02534;5229.873567;17.82233;0.088048
5.16;7.92;6.41;6.23;8;4440000;-0.00015;5245.421419;33.510159;10.223866
6.74;8.63;8.6;6.81;10;10187576;-0.000065;5266.850061;39.687759;1.564099
5.82;6.96;6.08;7.59;-6;15308084;33.772483;5291.57565;59.603901;69.435
6.74;9.24;8.83;7.32;9;1379350;-0.000483;5308.346961;62.843761;5.318492
5.21;6.69;5.76;6.31;6;143518523;-0.000005;5323.473877;72.590233;61.774337
6.53;8.8;7.15;7.44;8;1864003;3.342269;5327.853518;10.05616;0.085237
4.95;8.18;7.25;7.06;9;2699838;456.880376;5332.474361;28.223301;24.45632
6.5;8.62;6.79;7.57;8;1895671;3.459461;5342.140336;10.18734;0.13362
6.3;7.9;7.99;5.91;9;5388720;-0.000124;5402.929754;28.431271;6.957858
4.3;7.87;6.64;6.75;7;44901660;3.919855;5433.706412;35.36916;47.256862
4.9;8.61;7.27;7.41;9;2707805;456.025452;5445.894718;30.82267;23.865312
4.02;7.12;5.69;5.47;2;36717132;50.100237;5447.403976;30.275471;97.196901
5.13;9.29;8.22;7.62;10;1233996;19.193741;5455.06563;23.532459;0.104092
4.8;7.2;4.87;5.7;2;38186135;48.321334;5491.614414;33.30463;96.722
6.28;9.24;8.16;6.75;10;3415213;-0.000195;5505.535669;68.017502;19.44443
5.14;7.04;6.88;6.8;7;66902958;22.265398;5539.494368;52.58112;5.398035
6.69;8.7;7.07;7.39;8;1967866;3.411818;5561.89824;21.626369;0.300339
6.99;6.6;7.39;7.99;3;25796124;7.704142;5564.173231;27.915569;13.421229
6.04;7.9;6.59;6.09;-7;1344130000;7.983624;5574.187093;24.328409;1.693469
6.4;6.3;6.43;7.03;-7;8763400;36.035101;5574.603802;19.04789;97.082785
4.53;7;5.31;5.62;2;37439427;49.18649;5583.61616;31.464109;97.135491
4.06;2.03;6.13;3.52;9;3878000;-0.000172;5616.54684;31.271;0.017946
4.22;5.44;6.42;6.31;8;39145491;-0.000017;5640.848503;63.98481;16.38292
6.72;9.02;6.99;7.65;8;1930431;3.568115;5666.637847;14.13573;0.241993
5.15;8.18;7.17;6.68;10;38204570;-0.000017;5693.377763;59.839432;4.2271
8.13;8.51;9.94;7.25;0;5063100;-0.000132;5700.412634;9.28351;0.129872
4.47;6.58;7.14;6.47;5;15419493;28.741736;5702.168288;40.51432;57.885131
5.62;8.05;8.28;5.73;9;5378867;-0.000124;5708.082659;30.083509;6.536849
5.42;4.5;2.69;6.47;8;1085308;-0.000614;5745.680568;4.42132;92.825546
6.55;5.95;7.9;5.73;10;10327253;-0.000064;5765.048439;20.78567;4.231193
5.38;8.48;7.63;6.44;9;21193760;10.281139;5828.740623;50.02813;9.983086
5.97;6.25;6.48;6.99;-7;9054332;31.184079;5842.805784;19.26004;94.509496
5.84;5.05;7.14;5.13;7;66973561;323.725313;5855.53866;30.6362;2.273794
3.94;4.09;4.28;5.16;-9;729165;19.88576;5869.231153;3.23346;87.945322
5.42;7.98;7.87;6.56;10;3331041;-0.0002;5877.879608;46.01796;3.588927
5.57;7.12;6.22;3.93;8;9642505;-0.000069;5893.66181;16.62033;15.550255
5.14;6.94;6.9;6.75;7;67164130;22.202655;5917.917934;51.404751;6.16064
5.05;8.62;7.78;7.72;9;7545338;127.938072;5932.899677;49.534981;14.60918
4.21;9.42;7.62;6.11;8;10155036;149.015917;5967.000984;46.377361;6.492759
6.89;8.13;8.37;6.25;10;10255063;-0.000065;5994.528277;28.426991;2.984023
6.65;6.65;7.55;7.52;10;3538082;-0.000188;6018.489552;21.75849;1.26947
5.15;7.78;6.86;6.57;8;4440000;-0.00015;6053.716037;36.409489;9.361374
5.23;9.31;8.19;6.96;9;3438398;13.629021;6142.947966;43.017799;0.680461
6.63;6.65;7.44;8;3;26263048;7.964955;6194.671905;28.58267;13.777563
6.35;6.07;7.74;5.46;9;37439035;-0.000018;6200.33627;22.87362;3.65596
4.97;7.06;6.8;6.77;7;67451422;22.152387;6229.172886;51.23354;5.961305
6.81;8.27;7.06;7.46;8;2047831;43.190576;6244.002574;16.993589;0.356999
4.36;8.2;6.94;6.96;7;45918101;24.762348;6250.6545;38.991749;60.403379
4.96;6.8;6.65;6.55;10;4711440;-0.000141;6260.191279;16.95479;0.416933
6;8.03;6.66;6.26;-7;1350695000;7.953358;6264.643878;26.700001;1.501676
5.76;8.92;8.24;5.24;10;3327105;-0.0002;6281.373271;37.555408;1.97708
6.02;9.23;8.37;7.78;10;1239630;20.069698;6285.78905;24.53931;0.144914
7.72;9.15;6.72;6.13;-9;2191864;-0.000304;6297.197627;6.45219;78.675244
4.78;6.16;2.87;6.77;9;1170935;-0.000569;6299.169658;4.45859;79.129824
5.78;8.68;5.05;4.88;-7;74253373;30.450038;6299.918738;43.080769;70.774936
6.36;9.55;8.67;7.35;9;15913119;-0.000042;6323.75764;42.672691;2.158602
6.35;9.04;8.28;7.35;8;2263122;-0.000294;6344.980664;77.260048;4.62869
7.08;5.93;7.65;6.95;10;3412800;-0.000195;6379.597213;16.71236;0.646643
6.65;9.03;7.02;7.59;10;1267980;-0.000525;6431.005105;6.06039;65.277915
5.21;7.67;7.11;7.24;-10;1812159;-0.000368;6448.134853;4.11786;91.881492
5.38;8.05;8.17;6.8;9;5376912;-0.000124;6524.861878;32.112412;5.984361
6.55;9.13;8.25;5.94;10;10216605;-0.000065;6594.717465;30.077881;2.9396
4.16;6.17;6.66;6.08;8;39558750;-0.000017;6639.909435;67.090569;15.407375
5.55;9.15;7.33;6.8;10;38182222;-0.000017;6639.963052;61.231152;5.350331
5.45;6.59;7.42;5.96;6;42869283;-0.000016;6642.451218;36.87473;1.011031
6.8;9;8.39;6.62;10;10158608;-0.000066;6646.238255;44.560822;1.477326
4.25;6.85;7.69;6.51;8;102808590;3.675471;6649.716534;19.29516;9.666488
4.86;6.26;6.96;6.61;8;54252574;-0.000012;6672.511388;23.67878;2.732889
4.54;7.63;7.34;6.87;8;106888418;4.031877;6673.166974;21.941561;11.2431
5.85;9.45;7.08;7.14;-10;1498416;-0.000444;6677.481724;0.31605;93.003847
6.05;9.17;8.16;7.11;10;3377075;-0.000197;6706.966998;73.137589;25.07816
7.36;9.01;9.69;5.33;10;9800700;-0.000068;6737.254619;20.72825;4.842616
4.99;9.51;7.94;7.68;9;7395599;127.206329;6752.552178;57.99295;13.298118
6.39;8.39;8.26;5.91;10;3321242;-0.000201;6871.903885;34.342682;1.561371
6.04;8.4;6.79;7.92;8;2176510;40.636156;6882.258373;24.834221;0.421966
5.73;6.94;5.61;6.23;6;143049528;-0.000005;6920.194398;72.890244;62.875068
6.52;8.98;8.11;6.87;10;1272383;-0.000523;6935.67988;6.43571;48.871109
3.64;7.38;7.32;5.85;8;104239563;3.496532;6952.289039;20.09684;7.973603
5;9.44;7.69;7.83;9;7444443;128.641458;6955.987733;54.099899;12.600843
5.07;8.47;6.21;5.85;10;13893000;-0.000048;6987.820995;23.17725;11.874867
5.86;8.26;6.73;6.38;-7;1357380000;7.930048;6991.853866;29.696449;1.521363
5.57;8.1;7.99;6.47;10;3339750;-0.000199;7009.67816;63.714291;4.362821
4.37;7.43;7.39;6.84;8;105578297;3.734555;7023.787276;21.0693;8.903198
6.53;8.81;7.84;7.08;10;1277840;-0.000521;7049.610061;8.70332;60.083731
6.23;9.2;8.34;8.08;10;1247429;121.659028;7082.2957;32.192619;0.029884
5.27;8.74;8.08;6.84;9;3498679;11.588088;7112.398708;43.123489;0.650019
4.94;7.89;7.2;6.86;8;108257822;4.160475;7115.121769;22.76664;12.395498
6.39;4.84;7.38;5.69;7;67860617;218.193197;7117.233241;32.764381;3.607549
3.64;9.45;7.35;5.26;8;37471535;-0.000018;7170.689698;58.276718;17.128506
7.16;9.61;8.88;7.44;9;1370720;-0.000486;7174.240792;65.28051;4.220547
6.05;6.45;6.54;6.93;-7;9173082;28.853879;7189.691229;19.64731;94.747394
4.48;7.27;6.11;5.55;0;354170;-0.00188;7192.394285;10.72115;0.034513
4.24;8.15;7.27;7.13;7;46406446;24.426046;7227.77083;42.741322;68.201344
6.57;6.78;7.42;7.98;3;26730607;8.220202;7240.681967;30.24552;14.412319
6.38;9.14;7.88;5.28;10;13666335;-0.000049;7241.886068;23.65904;17.071345
5.03;9.09;8.25;6.9;9;3559401;86.77078;7283.556981;43.030041;0.913752
4.98;8.74;7.68;7.68;9;7492561;125.579625;7296.122479;51.350842;16.067836
6.39;6.5;7.09;7.86;6;27661017;76.292784;7312.008314;35.720509;14.81186
4.98;9.47;7.57;7.92;9;7305888;128.508266;7333.355073;62.69648;16.210013
6.18;6.86;6.79;7.04;-7;9295784;27.093788;7393.771877;20.438459;93.419357
8.04;6.31;7.62;6.38;10;3112900;-0.000214;7467.236893;26.6165;1.131187
6.7;8.43;7;7.79;8;2089706;42.194452;7504.850907;17.90703;0.404508
6.72;8.68;8.15;7.22;8;2238799;-0.000297;7550.142187;78.855408;8.916033
5.92;8.1;7.2;7.1;9;52341695;52.425509;7592.157997;19.69685;12.489555
7.88;6.17;7.31;6.57;10;3247100;-0.000205;7600.612154;32.12741;1.65189
4.53;7.97;7.05;6.68;8;116815612;38.263636;7647.684747;25.653481;13.514561
4.93;9.43;7.62;7.8;9;7265115;129.488384;7656.638506;66.494713;14.751788
5.41;9.71;7.65;6.49;8;37057453;-0.000018;7669.273709;53.070499;17.738467
6.28;5.42;7.49;5.68;7;68704721;159.100813;7727.272405;36.584339;4.171253
6.74;9.34;8.45;7.5;9;16096571;-0.000041;7728.611897;47.66431;2.694636
6.28;9;8.31;7.96;10;1244121;19.491673;7749.318438;27.23933;0.03271
5.03;9.32;7.59;7.84;9;7348328;127.628897;7750.03988;59.625229;13.10127
6.21;9.28;8.29;8;10;1250400;119.228247;7772.100057;34.173;0.000601
4.85;7.84;7.11;6.79;8;4440000;-0.00015;7805.881418;39.582459;9.643684
7.91;9.26;8.82;8.3;10;215973000;-0.000003;7820.065471;51.04408;4.212468
6.37;8.83;7.99;7.36;10;3322528;-0.0002;7863.162009;77.506599;26.647706
5.85;7.56;5.09;4.44;-7;75184322;29.382389;7874.484792;48.829411;70.47863
4.21;8.13;7.35;7.2;7;46881018;24.204764;7885.061292;45.019032;69.641475
7.73;6.05;7.55;4.45;10;9983218;-0.000067;7885.394019;20.02095;3.102907
4.96;8.08;7.25;6.75;8;109747906;3.776992;7893.968234;23.314699;14.906882
6.16;6.24;7.87;6.53;10;5059862;-0.000132;7954.974162;28.54543;3.374917
5.06;9.13;8.29;6.77;9;3620506;83.80127;7958.58369;43.915791;0.312708
6.78;6.29;8.05;4.85;10;56593071;-0.000012;7967.230642;25.9436;4.669831
5.63;9.27;7.28;6.98;10;38165445;-0.000017;7976.066768;63.600819;5.032961
5.88;8.88;8.19;7.14;10;10196916;-0.000065;8011.898074;34.60981;3.958984
4.14;8.12;7.35;7.16;7;47342363;24.016925;8027.97816;48.326279;69.42937
5.4;6.4;6.93;6.09;10;4007313;-0.000166;8204.451512;21.37281;13.736082
5.86;8.88;8.13;7.02;9;20882982;5.747359;8214.187342;53.955849;7.524701
6.02;9.03;8.06;6.83;9;20367487;544.392541;8220.108329;61.295712;5.888908
4.2;7.11;6.75;6.08;8;39969903;-0.000017;8239.137161;66.728043;10.993998
5.72;9.1;7.99;7.29;9;20246871;820.317668;8297.483621;56.776501;5.19565
6.41;9.33;8.28;6.81;10;10129552;-0.000066;8391.141952;52.285721;1.559716
5.7;5.55;8;4.57;10;56433883;-0.000012;8432.094481;27.4089;5.661289
6.14;6.58;7.12;7.78;6;27197419;7.874681;8486.599333;33.710049;18.396577
5.42;8.3;5.59;6.1;4;142785342;-0.000005;8562.813697;75.474617;66.685308
5.47;8.91;7.45;5.96;7;71261307;135.243576;8623.949625;46.127949;4.003863
6.65;9.35;9.68;8.25;10;56550268;-0.000012;8652.216542;21.30667;21.434787
5.24;8.06;7.17;6.78;8;111382857;3.917174;8666.335353;23.79003;15.525614
6.15;7.41;8.32;7.49;9;5373374;-0.000124;8696.913242;33.9356;5.073458
5.72;8.61;7.06;6.95;-10;419425;-0.001588;8706.829176;12.15382;0.072614
4.68;9.33;7.16;6.39;6;4337156;91.157431;8763.795964;47.7966;0.17031
7.88;9.58;9.72;5.8;10;9858308;-0.000068;8797.66799;30.95516;6.451049
5.4;8.97;7.8;6.98;10;1284052;-0.000519;8804.518666;8.77808;61.892351
6.79;9.53;8.99;7.89;9;1362550;-0.000489;8850.46785;66.765984;4.537292
4.57;8.07;7;6.72;8;118617542;37.01751;8851.350514;26.739389;14.042296
2.73;7.51;7.07;4.99;-66;2058832;-0.000323;8950.598481;12.17873;92.621014
6.08;9.35;8.2;6.57;10;4600487;52.2386;8963.680052;44.450249;0.342014
6.37;9.22;8.37;8.11;10;1252404;118.670174;8984.629769;36.045502;0.000832
6.23;9.31;7.31;6.85;10;38141267;-0.000017;8999.739627;65.185982;4.372281
5.23;8.74;8.23;6.89;9;3681979;82.1474;9036.037414;41.781921;0.012632
5.62;8.45;8.06;6.32;10;3350832;-0.000199;9062.290535;64.59832;3.361449
6.86;6.52;7.49;8.03;6;28119500;73.724711;9069.041757;37.134529;15.856877
7.56;8.63;8.59;9.32;-8;2385075;-0.000279;9070.494699;15.11176;76.833698
5.59;8.34;5.59;6.09;4;142805088;-0.000005;9101.256706;74.129982;61.446981
6.56;9.43;8.4;8.1;10;1255882;118.468136;9113.640643;39.864819;0.000753
4.7;9.41;7.04;6.33;6;4388637;80.932873;9132.434202;49.733841;0.138166
7.88;8.31;6.93;6.11;10;7564985;-0.000088;9150.001211;24.69869;2.022245
5.57;9.35;7.79;7.42;9;20147528;880.413369;9200.277825;51.59729;5.479295
4.78;8.02;7.03;6.66;8;113139374;4.050791;9219.817783;24.390921;15.766839
4.34;7.03;6.41;5.82;8;40798641;-0.000016;9231.3829;71.250938;10.34151
6.59;8.78;7.97;7.32;10;3269909;-0.000204;9240.642548;78.379967;23.527855
7.91;8.28;6.92;7.92;10;116782000;-0.000006;9307.839295;31.20274;0.388811
5.7;6.44;7.45;5.85;7;69515492;105.529585;9309.509482;38.465309;4.818847
5.09;8.09;6.97;6.87;8;4439000;-0.00015;9365.742468;41.34547;11.337343
5.77;8.83;8.1;6.44;10;3362761;-0.000198;9415.153583;63.23914;1.509683
6.55;9.67;8.49;7.82;10;1258653;118.444877;9479.86959;41.208912;0.000551
6.95;9.14;8.57;7.33;10;16279728;-0.000041;9500.835162;46.543301;2.391402
4.85;7.98;7.01;6.62;8;114972821;3.885344;9578.5707;25.096161;17.387683
6.76;6.89;6.6;4.66;10;10156902;-0.000066;9637.888692;24.90568;7.295391
6.67;7.03;4.82;5.81;10;766611;-0.000869;9641.575273;9.02724;1.910747
6.77;8.71;8.08;7.65;8;2218357;-0.0003;9651.70304;78.954819;5.202442
4.46;8.1;7.02;7.05;8;122070963;35.897636;9703.371017;28.99449;14.370337
4.63;8.12;7.03;6.8;8;120365271;36.367259;9715.112596;27.686831;16.296347
4.36;9.37;7.06;6.96;6;4440728;71.287185;9729.282193;46.264511;2.941479
6.17;9.29;8.13;6.67;10;4654148;51.691738;9733.396931;46.740959;0.056627
6.11;9.11;8.07;7.27;10;10193998;-0.000065;9741.058384;37.30648;2.81775
7.25;6.69;6.77;6.32;8;56795686;-0.000012;9775.339435;28.73796;3.848527
8.35;9.44;9.04;5.6;10;14491632;-0.000046;9799.443038;30.8071;22.69346
4.02;9.6;6.94;6.23;6;4493438;66.243709;9870.486278;47.927952;9.973297
5.72;6.48;3.82;7.27;0;234684;-0.002838;9888.615756;15.00416;65.692292
8.37;6.93;5.97;6.6;0;393028;-0.001695;9967.790407;23.13591;0.002408
4.42;7.42;6.89;5.3;10;8192437;-0.000081;9974.657321;22.89912;1.518401
4.29;6.9;6.76;6.1;8;40381860;-0.000016;9999.093517;68.686897;9.447404
7.05;5.96;9.63;7;10;56314216;-0.000012;10032.06208;18.65263;13.029629
5.25;8.86;7.35;6.2;7;72310416;100.631533;10111.51771;55.90155;3.933685
7.56;8.6;8.12;8.67;-8;2448194;-0.000272;10115.04361;16.68325;91.107842
6.02;8.24;8.08;6.9;9;20537875;5.69611;10136.47163;59.591862;9.108137
5.32;8.88;8.22;6.87;9;3743761;80.87856;10138.52113;43.456421;0.088869
4.45;8.08;7.2;7.11;8;123740109;35.48438;10172.72255;29.89047;13.016684
7.26;9;6.38;6.53;10;14692000;-0.000045;10186.12824;25.07077;11.139264
7.26;9.1;8.29;7.03;10;16829957;-0.00004;10217.31403;59.012699;1.365053
5.34;8.2;7.5;6.86;9;4442000;-0.00015;10224.24059;44.533298;13.904392
7.29;7.49;7.84;6.19;10;1988925;-0.000335;10227.73488;55.11092;0.667129
6.31;9.28;8.44;7.39;10;10107146;-0.000066;10254.24103;60.15263;1.816872
4.54;8.97;7.73;7.71;10;1290535;-0.000516;10290.46342;11.95271;60.206848
7.24;9.43;8.46;7.68;9;1354775;-0.000492;10338.31726;68.445831;7.219276
6.6;9.43;7.02;6.84;-9;563730;-0.001181;10376.36425;16.59305;53.129218
8.37;7;6.38;6.23;0;381363;-0.001746;10377.03732;19.847879;0.000033
5.49;8.57;7.37;6.24;7;70344357;123.640024;10382.31817;39.874859;5.84943
6.94;6.5;7.62;8.06;6;28572970;72.330388;10427.75605;35.974911;17.751428
6.25;9.33;7.92;6.57;10;4706433;51.219894;10461.57682;47.5956;0.048843
7.02;8.87;7.94;5.87;10;1992060;-0.000334;10479.29778;60.333939;0.974183
7.07;9.15;8.65;7.26;10;16462701;-0.00004;10513.54071;52.11396;1.76269
5.53;8.98;7.24;6.51;9;73199372;61.768481;10584.16396;60.683601;4.698941
5.5;8.84;7.25;6.59;9;74099255;33.879774;10646.03553;69.38549;5.282536
6.2;8.77;8.81;7.75;9;5372280;-0.000124;10654.79371;36.034931;6.298237
8.75;3.12;7.51;5.74;10;1989872;-0.000335;10690.66198;30.44847;1.199785
7.14;8.82;8.68;7.19;10;16645940;-0.00004;10791.02019;54.856739;2.258112
6.79;6.5;7.6;8.16;6;29021940;71.287964;10834.65908;37.20023;20.436156
8.04;8.4;6.87;5.79;10;7549433;-0.000088;10843.36172;21.12153;1.568812
7.03;6.97;7.6;7.05;0;395969;-0.001682;10849.75028;22.77548;0.029174
5.28;9.02;6.88;6.47;9;75010202;21.994981;10975.07493;79.332733;4.258095
6.66;9.44;7.97;7.31;10;10087065;-0.000066;11155.96145;65.104309;2.600086
4.31;6.59;6.3;5.67;8;41222875;-0.000016;11198.64257;74.829659;8.12663
2.71;5.3;3.61;5.02;5;28116716;-0.000024;11224.6467;78.134659;93.828001
6.83;7.78;6.83;6.38;10;4779535;-0.000139;11232.27456;31.75723;4.370582
5.61;9.22;7.46;6.99;10;38120560;-0.000017;11247.55148;66.690399;3.665684
6.35;9.32;7.55;6.02;8;47357362;-0.000014;11255.94789;82.73275;5.338189
4.39;3.95;6.86;3.58;9;4660000;-0.000143;11264.01838;33.60007;0.663842
6.4;8.93;8.05;7.11;8;2097555;-0.000318;11319.517;70.551918;5.325283